מחוז טריטוריאלי,חודש קבלה,עיר,יום בשבוע,כמות  אירועים
מחוז תא,2,הרצליה,שבת,5
מחוז תא,2,הרצליה,שישי,6
מחוז תא,2,הרצליה,חמישי,1
מחוז תא,2,הרצליה,רביעי,3
מחוז תא,2,הרצליה,שלישי,3
מחוז תא,2,הרצליה,שני,6
מחוז תא,2,חולון,ראשון,6
מחוז תא,2,חולון,שבת,27
מחוז תא,2,חולון,שישי,19
מחוז תא,2,חולון,חמישי,15
מחוז תא,2,חולון,רביעי,13
מחוז תא,2,חולון,שלישי,9
מחוז תא,2,חולון,שני,11
מחוז תא,2,יהוד מונוסון,שבת,1
מחוז תא,2,יהוד מונוסון,רביעי,2
מחוז תא,2,יהוד מונוסון,שני,1
מחוז תא,2,לא ידוע,ראשון,1
מחוז תא,2,לא ידוע,חמישי,1
מחוז תא,2,סביון,חמישי,1
מחוז תא,2,קרית אונו,שבת,4
מחוז תא,2,קרית אונו,חמישי,1
מחוז תא,2,קרית אונו,רביעי,2
מחוז תא,2,קרית אונו,שני,2
מחוז תא,2,רמת גן,ראשון,12
מחוז תא,2,רמת גן,שבת,16
מחוז תא,2,רמת גן,שישי,5
מחוז תא,2,רמת גן,חמישי,10
מחוז תא,2,רמת גן,רביעי,8
מחוז תא,2,רמת גן,שלישי,9
מחוז תא,2,רמת גן,שני,11
מחוז תא,2,רמת השרון,שבת,1
מחוז תא,2,רמת השרון,שישי,2
מחוז תא,2,רמת השרון,רביעי,1
מחוז תא,2,רמת השרון,שלישי,1
מחוז תא,2,תל אביב -יפו,ראשון,35
מחוז תא,2,תל אביב -יפו,שבת,54
מחוז תא,2,תל אביב -יפו,שישי,52
מחוז תא,2,תל אביב -יפו,חמישי,36
מחוז תא,2,תל אביב -יפו,רביעי,28
מחוז תא,2,תל אביב -יפו,שלישי,28
מחוז תא,2,תל אביב -יפו,שני,31
מחוז תא,2,Total,,676
מחוז תא,3,אור יהודה,ראשון,5
מחוז תא,3,אור יהודה,שבת,5
מחוז תא,3,אור יהודה,שישי,4
מחוז תא,3,אור יהודה,חמישי,2
מחוז תא,3,אור יהודה,רביעי,3
מחוז תא,3,אור יהודה,שני,3
מחוז תא,3,אזור,ראשון,2
מחוז תא,3,אזור,שני,1
מחוז תא,3,בני ברק,ראשון,7
מחוז תא,3,בני ברק,שבת,8
מחוז תא,3,בני ברק,שישי,8
מחוז תא,3,בני ברק,חמישי,4
מחוז תא,3,בני ברק,רביעי,5
מחוז תא,3,בני ברק,שלישי,4
מחוז תא,3,בני ברק,שני,3
מחוז תא,3,בת ים,ראשון,11
מחוז תא,3,בת ים,שבת,21
מחוז תא,3,בת ים,שישי,21
מחוז תא,3,בת ים,חמישי,16
מחוז תא,3,בת ים,רביעי,11
מחוז תא,3,בת ים,שלישי,13
מחוז תא,3,בת ים,שני,11
מחוז תא,3,גבעת שמואל,ראשון,2
מחוז תא,3,גבעת שמואל,שבת,2
מחוז תא,3,גבעת שמואל,שישי,2
מחוז תא,3,גבעת שמואל,רביעי,1
מחוז תא,3,גבעת שמואל,שלישי,1
מחוז תא,3,גבעת שמואל,שני,1
מחוז תא,3,גבעתיים,ראשון,2
מחוז תא,3,גבעתיים,שבת,3
מחוז תא,3,גבעתיים,שישי,1
מחוז תא,3,גבעתיים,חמישי,3
מחוז תא,3,גבעתיים,רביעי,1
מחוז תא,3,גבעתיים,שלישי,2
מחוז תא,3,גבעתיים,שני,1
מחוז תא,3,גני תקווה,שבת,1
מחוז תא,3,גני תקווה,שישי,4
מחוז תא,3,גני תקווה,שלישי,2
מחוז תא,3,הרצליה,ראשון,5
מחוז תא,3,הרצליה,שבת,5
מחוז תא,3,הרצליה,שישי,5
מחוז תא,3,הרצליה,חמישי,3
מחוז תא,3,הרצליה,רביעי,2
מחוז תא,3,הרצליה,שלישי,3
מחוז תא,3,הרצליה,שני,4
מחוז תא,3,חולון,ראשון,8
מחוז תא,3,חולון,שבת,19
מחוז תא,3,חולון,שישי,15
מחוז תא,3,חולון,חמישי,7
מחוז תא,3,חולון,רביעי,10
מחוז תא,3,חולון,שלישי,13
מחוז תא,3,חולון,שני,21
מחוז תא,3,יהוד מונוסון,ראשון,1
מחוז תא,3,יהוד מונוסון,שבת,2
מחוז תא,3,יהוד מונוסון,חמישי,3
מחוז תא,3,יהוד מונוסון,שלישי,2
מחוז תא,3,יהוד מונוסון,שני,1
מחוז תא,3,לא ידוע,שישי,1
מחוז תא,3,לא ידוע,שני,2
מחוז תא,3,קרית אונו,ראשון,2
מחוז תא,3,קרית אונו,שישי,2
מחוז תא,3,קרית אונו,חמישי,3
מחוז תא,3,קרית אונו,רביעי,3
מחוז תא,3,קרית אונו,שלישי,1
מחוז תא,3,קרית גת,שני,1
מחוז תא,3,רמת גן,ראשון,11
מחוז תא,3,רמת גן,שבת,6
מחוז תא,3,רמת גן,שישי,8
מחוז תא,3,רמת גן,חמישי,9
מחוז תא,3,רמת גן,רביעי,7
מחוז תא,3,רמת גן,שלישי,9
מחוז תא,3,רמת גן,שני,10
מחוז תא,3,רמת השרון,שבת,2
מחוז תא,3,רמת השרון,שישי,4
מחוז תא,3,רמת השרון,שלישי,2
מחוז תא,3,תל אביב -יפו,ראשון,50
מחוז תא,3,תל אביב -יפו,שבת,54
מחוז תא,3,תל אביב -יפו,שישי,38
מחוז תא,3,תל אביב -יפו,חמישי,32
מחוז תא,3,תל אביב -יפו,רביעי,33
מחוז תא,3,תל אביב -יפו,שלישי,30
מחוז תא,3,תל אביב -יפו,שני,40
מחוז תא,3,Total,,685
מחוז תא,Total,,,"2,086"
מחוז שי,1,א ראם,שבת,1
מחוז שי,1,אבני חפץ,שישי,1
מחוז שי,1,אורנית,רביעי,1
מחוז שי,1,אורנית,שני,1
מחוז שי,1,אל ח'דר,ראשון,1
מחוז שי,1,אלפי מנשה,שישי,1
מחוז שי,1,אלפי מנשה,רביעי,1
מחוז שי,1,אפרת,שבת,1
מחוז שי,1,אפרת,רביעי,1
מחוז שי,1,אריאל,שבת,1
מחוז שי,1,אריאל,שישי,2
מחוז שי,1,אריאל,חמישי,1
מחוז שי,1,אריאל,שלישי,2
מחוז שי,1,בית אל,רביעי,2
מחוז שי,1,בית אריה,שני,1
מחוז שי,1,בית ג'אלא,שבת,1
מחוז שי,1,בית לחם,שבת,1
מחוז שי,1,בית לחם,רביעי,1
מחוז שי,1,ביתר עילית,ראשון,2
מחוז שי,1,ביתר עילית,שבת,2
מחוז שי,1,ביתר עילית,שישי,1
מחוז שי,1,ביתר עילית,רביעי,1
מחוז שי,1,ביתר עילית,שלישי,1
מחוז שי,1,ביתר עילית,שני,2
מחוז שי,1,ג'נין,שישי,1
מחוז שי,1,גבע בנימין,ראשון,1
מחוז שי,1,גבע בנימין,שישי,2
מחוז שי,1,הר גילה,ראשון,1
מחוז שי,1,הר גילה,שלישי,1
מחוז שי,1,חיזמא,חמישי,1
מחוז שי,1,חלמיש,חמישי,1
מחוז שי,1,חשמונאים,ראשון,1
מחוז שי,1,חשמונאים,שישי,1
מחוז שי,1,טול כרם,שבת,1
מחוז שי,1,יקיר,חמישי,1
מחוז שי,1,כוכב יעקב,חמישי,2
מחוז שי,1,כרמי צור,שבת,1
מחוז שי,1,לא ידוע,חמישי,1
מחוז שי,1,מודיעין עילית,ראשון,1
מחוז שי,1,מודיעין עילית,שלישי,2
מחוז שי,1,מודיעין עילית,שני,2
מחוז שי,1,מעלה אדומים,ראשון,1
מחוז שי,1,מעלה אדומים,שבת,3
מחוז שי,1,מעלה אדומים,שישי,3
מחוז שי,1,מעלה אדומים,חמישי,1
מחוז שי,1,מעלה אדומים,רביעי,2
מחוז שי,1,מעלה אדומים,שלישי,1
מחוז שי,1,מרדה,שלישי,1
מחוז שי,1,ניל''י,שישי,1
מחוז שי,1,עין יברוד,שבת,1
מחוז שי,1,עלמון,ראשון,1
מחוז שי,1,עמנואל,שבת,1
מחוז שי,1,עמנואל,שישי,1
מחוז שי,1,עמנואל,שני,2
מחוז שי,1,עפרה,שני,1
מחוז שי,1,עץ אפרים,חמישי,1
מחוז שי,1,צופין,שישי,1
מחוז שי,1,קלקיליה,שני,1
מחוז שי,1,קרית ארבע,רביעי,1
מחוז שי,1,קרני שומרון,ראשון,1
מחוז שי,1,קרני שומרון,שבת,1
מחוז שי,1,שבי שומרון,רביעי,1
מחוז שי,1,שוקבא,חמישי,1
מחוז שי,1,שערי תקווה,שבת,1
מחוז שי,1,שערי תקווה,רביעי,1
מחוז שי,1,תקוע,שישי,1
מחוז שי,1,Total,,82
מחוז שי,2,א ראם,שבת,1
מחוז שי,2,אורנית,שבת,1
מחוז שי,2,אורנית,חמישי,1
מחוז שי,2,אלעזר,חמישי,1
מחוז שי,2,אריאל,שבת,3
מחוז שי,2,אריאל,שישי,3
מחוז שי,2,אריאל,חמישי,1
מחוז שי,2,בית אל,שבת,1
מחוז שי,2,בית אריה,שבת,1
מחוז שי,2,בית לחם,שישי,1
מחוז שי,2,בית ליקיא,שישי,1
מחוז שי,2,ביתר עילית,ראשון,1
מחוז שי,2,ביתר עילית,שבת,1
מחוז שי,2,ביתר עילית,שישי,1
מחוז שי,2,ביתר עילית,רביעי,2
מחוז שי,2,ביתר עילית,שלישי,1
מחוז שי,2,ביתר עילית,שני,1
מחוז שי,2,ברקן,שבת,1
מחוז שי,2,ג'בע מצפון לירושלים,חמישי,1
מחוז שי,2,גבע בנימין,שבת,1
מחוז שי,2,גבע בנימין,חמישי,1
מחוז שי,2,גני מודיעין,שישי,1
מחוז שי,2,ורד יריחו,חמישי,1
מחוז שי,2,זעתרה,שבת,1
מחוז שי,2,חיזמא,רביעי,1
מחוז שי,2,חשמונאים,ראשון,1
מחוז שי,2,יטא יוטה,שבת,1
מחוז שי,2,יריחו,שבת,1
מחוז שי,2,כוכב יעקב,שישי,1
מחוז שי,2,כוכב יעקב,שלישי,1
מחוז שי,2,לא ידוע,שלישי,1
מחוז שי,2,לא ידוע,שני,1
מחוז שי,2,מבוא דותן,שישי,1
מחוז שי,2,מודיעין עילית,שישי,2
מחוז שי,2,מודיעין עילית,חמישי,1
מחוז שי,2,מודיעין עילית,רביעי,1
מחוז שי,2,מודיעין עילית,שלישי,1
מחוז שי,2,מעלה אדומים,ראשון,2
מחוז שי,2,מעלה אדומים,שבת,4
מחוז שי,2,מעלה אדומים,שישי,1
מחוז שי,2,מעלה אדומים,חמישי,2
מחוז שי,2,מעלה אדומים,רביעי,1
מחוז שי,2,מעלה אדומים,שני,3
מחוז שי,2,נגוהות,שני,1
מחוז שי,2,עאבוד,ראשון,1
מחוז שי,2,עמנואל,שלישי,1
מחוז שי,2,קדומים,שבת,1
מחוז שי,2,קלנדיה,שבת,1
מחוז שי,2,קרית ארבע,חמישי,1
מחוז שי,2,קרני שומרון,שישי,1
מחוז שי,2,תקוע,שבת,1
מחוז שי,2,תקוע,שלישי,1
מחוז שי,2,Total,,65
מחוז שי,3,א ראם,שבת,1
מחוז שי,3,אבני חפץ,חמישי,1
מחוז שי,3,אורנית,שבת,1
מחוז שי,3,אורנית,רביעי,2
מחוז שי,3,אל ח'דר,חמישי,1
מחוז שי,3,אלון מורה,שלישי,1
מחוז שי,3,אפרת,חמישי,1
מחוז שי,3,אריאל,ראשון,1
מחוז שי,3,אריאל,שבת,5
מחוז שי,3,אריאל,שישי,1
