,,,שנה קבלת אירוע,Total,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2017,2017,2017
מועצה  מקומית או עירייה או מועצה אזורית,נושא ארוע,סוג אירוע,רבעון קבלת אירוע,,Total,Q1,Q2,Q3,Q4,Total,Q1,Q2,Q3,Q4,Total,Q1,Q2
ביתר עילית,אלימות,Total,,156,85,19,20,22,24,58,17,15,14,12,13,7,6
ביתר עילית,אלימות,סכסוך - שכנים,,50,-,-,-,-,-,37,-,11,14,12,13,7,6
ביתר עילית,אלימות,סכסוך שכנים עסקי,,106,85,19,20,22,24,21,17,$,-,-,-,-,-
ביתר עילית,סמים ואלכוהול,Total,,29,11,5,$,$,$,11,6,$,$,-,7,6,$
ביתר עילית,סמים ואלכוהול,שכרות,,29,11,5,$,$,$,11,6,$,$,-,7,6,$
בני ברק,Total,,,32677,11288,2738,2723,2802,3025,15362,3251,3649,3850,4612,6027,3996,2031
בני ברק,תנועה,Total,,20701,6520,1602,1507,1613,1798,9959,2040,2329,2682,2908,4222,2894,1328
בני ברק,תנועה,הסגת גבול - חניה פרטית,,1709,-,-,-,-,-,1057,-,281,363,413,652,465,187
בני ברק,תנועה,חסימת מעבר,,11215,3565,824,826,897,1018,5484,1212,1252,1487,1533,2166,1494,672
בני ברק,תנועה,רכב חונה באיסור,,7777,2955,778,681,716,780,3418,828,796,832,962,1404,935,469
בני ברק,איכות חיים,Total,,7958,3062,680,833,785,764,3732,748,927,764,1293,1164,669,495
בני ברק,איכות חיים,גרימת רעש מבית,,3541,1422,376,410,306,330,1613,397,389,304,523,506,295,211
בני ברק,איכות חיים,גרימת רעש מבית תפילה,,22,-,-,-,-,-,-,-,-,-,-,22,17,5
בני ברק,איכות חיים,גרימת רעש ממקום ציבורי,,3635,1379,258,351,403,367,1744,270,440,380,654,512,264,248
בני ברק,איכות חיים,גרימת רעש מעסק,,760,261,46,72,76,67,375,81,98,80,116,124,93,31
בני ברק,סדר ציבורי,Total,,1851,710,216,163,145,186,795,191,198,193,213,346,236,110
בני ברק,סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,1851,710,216,163,145,186,795,191,198,193,213,346,236,110
בני ברק,אלימות,Total,,1972,931,215,212,238,266,790,247,176,191,176,251,168,83
בני ברק,אלימות,סכסוך - שכנים,,768,-,-,-,-,-,517,-,150,191,176,251,168,83
בני ברק,אלימות,סכסוך שכנים עסקי,,1204,931,215,212,238,266,273,247,26,-,-,-,-,-
בני ברק,סמים ואלכוהול,Total,,195,65,25,8,21,11,86,25,19,20,22,44,29,15
בני ברק,סמים ואלכוהול,שכרות,,195,65,25,8,21,11,86,25,19,20,22,44,29,15
"בני עי""ש",Total,,,1172,470,108,129,116,117,497,100,121,134,142,205,110,95
"בני עי""ש",תנועה,Total,,539,197,55,40,48,54,250,67,64,59,60,92,59,33
"בני עי""ש",תנועה,הסגת גבול - חניה פרטית,,50,-,-,-,-,-,30,-,11,8,11,20,13,7
"בני עי""ש",תנועה,חסימת מעבר,,338,115,32,18,23,42,159,43,41,40,35,64,42,22
"בני עי""ש",תנועה,רכב חונה באיסור,,151,82,23,22,25,12,61,24,12,11,14,8,$,$
"בני עי""ש",איכות חיים,Total,,453,197,35,77,44,41,179,25,45,49,60,77,33,44
"בני עי""ש",איכות חיים,גרימת רעש מבית,,235,95,20,36,18,21,96,13,25,24,34,44,21,23
"בני עי""ש",איכות חיים,גרימת רעש מבית תפילה,,$,-,-,-,-,-,-,-,-,-,-,$,$,-
"בני עי""ש",איכות חיים,גרימת רעש ממקום ציבורי,,189,89,12,39,20,18,71,8,16,21,26,29,11,18
"בני עי""ש",איכות חיים,גרימת רעש מעסק,,28,13,$,$,6,$,12,$,$,$,-,$,-,$
"בני עי""ש",סדר ציבורי,Total,,99,33,7,$,14,8,39,7,$,10,18,27,14,13
"בני עי""ש",סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,99,33,7,$,14,8,39,7,$,10,18,27,14,13
"בני עי""ש",אלימות,Total,,67,38,11,8,9,10,24,$,6,15,$,5,$,$
"בני עי""ש",אלימות,סכסוך - שכנים,,27,-,-,-,-,-,22,-,5,15,$,5,$,$
"בני עי""ש",אלימות,סכסוך שכנים עסקי,,40,38,11,8,9,10,$,$,$,-,-,-,-,-
"בני עי""ש",סמים ואלכוהול,Total,,14,5,-,-,$,$,5,-,$,$,$,$,$,$
"בני עי""ש",סמים ואלכוהול,שכרות,,14,5,-,-,$,$,5,-,$,$,$,$,$,$
בנימינה-גבעת עדה,Total,,,1373,528,94,193,130,111,610,109,185,151,165,235,139,96
בנימינה-גבעת עדה,תנועה,Total,,542,161,38,45,38,40,246,51,61,63,71,135,88,47
בנימינה-גבעת עדה,תנועה,הסגת גבול - חניה פרטית,,34,-,-,-,-,-,23,-,5,7,11,11,7,$
בנימינה-גבעת עדה,תנועה,חסימת מעבר,,370,116,24,33,31,28,156,38,46,37,35,98,64,34
בנימינה-גבעת עדה,תנועה,רכב חונה באיסור,,138,45,14,12,7,12,67,13,10,19,25,26,17,9
בנימינה-גבעת עדה,איכות חיים,Total,,509,227,24,109,54,40,223,28,84,54,57,59,24,35
בנימינה-גבעת עדה,איכות חיים,גרימת רעש מבית,,307,136,17,66,33,20,127,18,51,32,26,44,21,23
בנימינה-גבעת עדה,איכות חיים,גרימת רעש ממקום ציבורי,,187,87,7,42,19,19,89,9,32,18,30,11,$,8
בנימינה-גבעת עדה,איכות חיים,גרימת רעש מעסק,,15,$,-,$,$,$,7,$,$,$,$,$,-,$
בנימינה-גבעת עדה,סדר ציבורי,Total,,169,70,17,16,20,17,77,14,18,22,23,22,13,9
בנימינה-גבעת עדה,סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,169,70,17,16,20,17,77,14,18,22,23,22,13,9
בנימינה-גבעת עדה,אלימות,Total,,124,53,12,16,14,11,58,15,20,9,14,13,9,$
בנימינה-גבעת עדה,אלימות,סכסוך - שכנים,,54,-,-,-,-,-,41,-,18,9,14,13,9,$
בנימינה-גבעת עדה,אלימות,סכסוך שכנים עסקי,,70,53,12,16,14,11,17,15,$,-,-,-,-,-
בנימינה-גבעת עדה,סמים ואלכוהול,Total,,29,17,$,7,$,$,6,$,$,$,-,6,5,$
בנימינה-גבעת עדה,סמים ואלכוהול,שכרות,,29,17,$,7,$,$,6,$,$,$,-,6,5,$
"בסמ""ה",Total,,,$,$,-,$,$,-,-,-,-,-,-,-,-,-
"בסמ""ה",תנועה,Total,,$,$,-,-,$,-,-,-,-,-,-,-,-,-
"בסמ""ה",תנועה,רכב חונה באיסור,,$,$,-,-,$,-,-,-,-,-,-,-,-,-
"בסמ""ה",איכות חיים,Total,,$,$,-,$,-,-,-,-,-,-,-,-,-,-
"בסמ""ה",איכות חיים,גרימת רעש ממקום ציבורי,,$,$,-,$,-,-,-,-,-,-,-,-,-,-
בסמת טבעון,Total,,,172,48,6,12,19,11,97,13,22,49,13,27,14,13
בסמת טבעון,תנועה,Total,,26,8,$,$,$,$,10,$,$,5,$,8,5,$
בסמת טבעון,תנועה,חסימת מעבר,,17,5,-,$,$,$,7,$,$,$,$,5,$,$
בסמת טבעון,תנועה,רכב חונה באיסור,,9,$,$,-,-,$,$,-,-,$,$,$,$,$
בסמת טבעון,איכות חיים,Total,,107,29,$,8,13,6,63,5,13,36,9,15,5,10
בסמת טבעון,איכות חיים,גרימת רעש מבית,,28,6,-,$,$,$,21,$,5,13,$,$,-,$
בסמת טבעון,איכות חיים,גרימת רעש מבית תפילה,,$,-,-,-,-,-,-,-,-,-,-,$,$,-
בסמת טבעון,איכות חיים,גרימת רעש ממקום ציבורי,,74,22,$,5,11,$,41,$,8,22,8,11,$,9
בסמת טבעון,איכות חיים,גרימת רעש מעסק,,$,$,-,-,$,-,$,-,-,$,-,-,-,-
בסמת טבעון,סדר ציבורי,Total,,25,7,$,$,$,-,16,5,$,6,$,$,$,-
בסמת טבעון,סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,25,7,$,$,$,-,16,5,$,6,$,$,$,-
בסמת טבעון,אלימות,Total,,10,$,-,-,-,$,6,$,$,$,-,$,$,-
בסמת טבעון,אלימות,סכסוך - שכנים,,7,-,-,-,-,-,5,-,$,$,-,$,$,-
בסמת טבעון,אלימות,סכסוך שכנים עסקי,,$,$,-,-,-,$,$,$,-,-,-,-,-,-
בסמת טבעון,סמים ואלכוהול,Total,,$,$,-,-,$,-,$,$,-,$,-,-,-,-
בסמת טבעון,סמים ואלכוהול,שכרות,,$,$,-,-,$,-,$,$,-,$,-,-,-,-
בענה ראה שגור,Total,,,110,32,7,5,11,9,61,7,18,27,9,17,11,6
בענה ראה שגור,תנועה,Total,,32,8,$,$,$,$,18,$,$,8,5,6,6,-
בענה ראה שגור,תנועה,הסגת גבול - חניה פרטית,,$,-,-,-,-,-,$,-,$,-,$,$,$,-
בענה ראה שגור,תנועה,חסימת מעבר,,27,8,$,$,$,$,15,$,$,8,$,$,$,-
בענה ראה שגור,תנועה,רכב חונה באיסור,,$,-,-,-,-,-,$,-,-,-,$,-,-,-
בענה ראה שגור,איכות חיים,Total,,33,7,$,$,$,$,22,$,7,10,$,$,$,$
בענה ראה שגור,איכות חיים,גרימת רעש מבית,,12,$,-,$,$,$,9,-,5,$,-,-,-,-
בענה ראה שגור,איכות חיים,גרימת רעש ממקום ציבורי,,21,$,$,$,$,-,13,$,$,6,$,$,$,$
בענה ראה שגור,סדר ציבורי,Total,,21,6,$,$,$,$,11,$,$,6,-,$,$,$
בענה ראה שגור,סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,21,6,$,$,$,$,11,$,$,6,-,$,$,$
בענה ראה שגור,אלימות,Total,,23,11,$,-,$,$,10,$,5,$,-,$,-,$
בענה ראה שגור,אלימות,סכסוך - שכנים,,8,-,-,-,-,-,6,-,$,$,-,$,-,$
בענה ראה שגור,אלימות,סכסוך שכנים עסקי,,15,11,$,-,$,$,$,$,$,-,-,-,-,-
בענה ראה שגור,סמים ואלכוהול,Total,,$,-,-,-,-,-,-,-,-,-,-,$,$,-
בענה ראה שגור,סמים ואלכוהול,שכרות,,$,-,-,-,-,-,-,-,-,-,-,$,$,-
בת ים,Total,,,44931,17129,3472,4803,4563,4291,20223,3827,5526,5327,5543,7579,4441,3138
בת ים,תנועה,Total,,22525,7220,1572,1730,2020,1898,10551,1892,2610,3110,2939,4754,2926,1828
בת ים,תנועה,הסגת גבול - חניה פרטית,,2992,-,-,-,-,-,1831,-,505,724,602,1161,715,446
בת ים,תנועה,חסימת מעבר,,11239,3702,746,877,1016,1063,5316,1057,1326,1493,1440,2221,1344,877
בת ים,תנועה,רכב חונה באיסור,,8294,3518,826,853,1004,835,3404,835,779,893,897,1372,867,505
בת ים,איכות חיים,Total,,16533,7453,1320,2397,1906,1830,7116,1299,2251,1562,2004,1964,976,988
בת ים,איכות חיים,גרימת רעש מבית,,8633,3874,823,1217,824,1010,3601,811,1108,687,995,1158,643,515
בת ים,איכות חיים,גרימת רעש מבית תפילה,,9,-,-,-,-,-,-,-,-,-,-,9,7,$
בת ים,איכות חיים,גרימת רעש ממקום ציבורי,,7028,3192,423,1049,978,742,3162,423,1022,799,918,674,265,409
בת ים,איכות חיים,גרימת רעש מעסק,,863,387,74,131,104,78,353,65,121,76,91,123,61,62
בת ים,סדר ציבורי,Total,,2457,939,256,273,212,198,1129,234,333,286,276,389,241,148
בת ים,סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,2457,939,256,273,212,198,1129,234,333,286,276,389,241,148
בת ים,אלימות,Total,,2867,1329,276,355,374,324,1169,326,268,311,264,369,234,135
בת ים,אלימות,סכסוך - שכנים,,1156,-,-,-,-,-,787,-,212,311,264,369,234,135
בת ים,אלימות,סכסוך שכנים עסקי,,1711,1329,276,355,374,324,382,326,56,-,-,-,-,-
בת ים,סמים ואלכוהול,Total,,549,188,48,48,51,41,258,76,64,58,60,103,64,39
בת ים,סמים ואלכוהול,שכרות,,549,188,48,48,51,41,258,76,64,58,60,103,64,39
ג'דיידה-מכר,Total,,,296,121,21,38,32,30,129,27,35,36,31,46,22,24
ג'דיידה-מכר,תנועה,Total,,87,36,6,12,12,6,37,7,11,11,8,14,5,9
ג'דיידה-מכר,תנועה,הסגת גבול - חניה פרטית,,5,-,-,-,-,-,$,-,$,$,$,$,$,$
ג'דיידה-מכר,תנועה,חסימת מעבר,,67,26,$,9,11,$,33,7,10,9,7,8,$,$
ג'דיידה-מכר,תנועה,רכב חונה באיסור,,15,10,$,$,$,$,$,-,-,$,-,$,-,$
ג'דיידה-מכר,איכות חיים,Total,,59,26,$,7,8,7,26,6,6,$,10,7,$,$
ג'דיידה-מכר,איכות חיים,גרימת רעש מבית,,20,9,-,$,$,5,9,$,-,$,5,$,$,$
ג'דיידה-מכר,איכות חיים,גרימת רעש מבית תפילה,,$,-,-,-,-,-,-,-,-,-,-,$,$,-
ג'דיידה-מכר,איכות חיים,גרימת רעש ממקום ציבורי,,34,16,$,$,6,$,14,$,5,$,$,$,$,$
ג'דיידה-מכר,איכות חיים,גרימת רעש מעסק,,$,$,-,-,$,-,$,$,$,-,$,-,-,-
ג'דיידה-מכר,סדר ציבורי,Total,,85,21,$,6,6,6,49,$,14,19,13,15,10,5
ג'דיידה-מכר,סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,85,21,$,6,6,6,49,$,14,19,13,15,10,5
ג'דיידה-מכר,אלימות,Total,,61,37,8,13,5,11,14,10,$,$,-,10,$,6
ג'דיידה-מכר,אלימות,סכסוך - שכנים,,14,-,-,-,-,-,$,-,$,$,-,10,$,6
ג'דיידה-מכר,אלימות,סכסוך שכנים עסקי,,47,37,8,13,5,11,10,10,-,-,-,-,-,-
ג'דיידה-מכר,סמים ואלכוהול,Total,,$,$,-,-,$,-,$,$,$,-,-,-,-,-
ג'דיידה-מכר,סמים ואלכוהול,שכרות,,$,$,-,-,$,-,$,$,$,-,-,-,-,-
ג'ולס,Total,,,94,38,5,13,18,$,44,11,14,13,6,12,7,5
ג'ולס,תנועה,Total,,34,13,$,6,5,-,17,6,7,$,$,$,$,$
ג'ולס,תנועה,הסגת גבול - חניה פרטית,,$,-,-,-,-,-,$,-,$,$,-,-,-,-
ג'ולס,תנועה,חסימת מעבר,,21,7,$,$,$,-,11,$,5,$,$,$,$,$
ג'ולס,תנועה,רכב חונה באיסור,,11,6,$,$,$,-,$,$,$,-,-,$,$,-
ג'ולס,איכות חיים,Total,,18,10,$,$,6,$,6,$,$,$,$,$,-,$
ג'ולס,איכות חיים,גרימת רעש מבית,,7,5,$,$,$,-,$,$,-,-,$,-,-,-
ג'ולס,איכות חיים,גרימת רעש ממקום ציבורי,,9,$,-,$,$,$,$,$,$,$,-,$,-,$
ג'ולס,איכות חיים,גרימת רעש מעסק,,$,$,-,-,$,-,$,-,$,-,-,-,-,-
ג'ולס,סדר ציבורי,Total,,18,$,-,-,$,$,10,-,$,$,$,6,5,$
ג'ולס,סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,18,$,-,-,$,$,10,-,$,$,$,6,5,$
ג'ולס,אלימות,Total,,24,13,$,5,6,-,11,$,$,6,$,-,-,-
ג'ולס,אלימות,סכסוך - שכנים,,8,-,-,-,-,-,8,-,$,6,$,-,-,-
ג'ולס,אלימות,סכסוך שכנים עסקי,,16,13,$,5,6,-,$,$,-,-,-,-,-,-
ג'לג'וליה,Total,,,248,86,13,21,21,31,111,21,26,32,32,51,31,20
ג'לג'וליה,תנועה,Total,,112,33,7,8,7,11,48,9,12,13,14,31,21,10
ג'לג'וליה,תנועה,הסגת גבול - חניה פרטית,,8,-,-,-,-,-,$,-,$,$,$,$,$,$
ג'לג'וליה,תנועה,חסימת מעבר,,92,27,7,8,$,8,41,8,11,10,12,24,15,9
ג'לג'וליה,תנועה,רכב חונה באיסור,,12,6,-,-,$,$,$,$,-,$,$,$,$,-
ג'לג'וליה,איכות חיים,Total,,54,20,$,5,6,8,24,$,7,6,8,10,$,8
ג'לג'וליה,איכות חיים,גרימת רעש מבית,,14,8,-,$,$,$,6,$,$,-,$,-,-,-
ג'לג'וליה,איכות חיים,גרימת רעש מבית תפילה,,$,-,-,-,-,-,-,-,-,-,-,$,$,$
ג'לג'וליה,איכות חיים,גרימת רעש ממקום ציבורי,,31,9,$,$,$,$,15,$,$,6,$,7,$,6
ג'לג'וליה,איכות חיים,גרימת רעש מעסק,,6,$,-,$,-,$,$,-,$,-,$,-,-,-
ג'לג'וליה,סדר ציבורי,Total,,53,22,$,$,5,10,28,6,7,8,7,$,$,$
ג'לג'וליה,סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,53,22,$,$,5,10,28,6,7,8,7,$,$,$
ג'לג'וליה,אלימות,Total,,26,10,$,$,$,$,10,$,-,$,$,6,5,$
ג'לג'וליה,אלימות,סכסוך - שכנים,,13,-,-,-,-,-,7,-,-,$,$,6,5,$
ג'לג'וליה,אלימות,סכסוך שכנים עסקי,,13,10,$,$,$,$,$,$,-,-,-,-,-,-
ג'לג'וליה,סמים ואלכוהול,Total,,$,$,$,-,-,-,$,-,-,$,-,$,$,-
ג'לג'וליה,סמים ואלכוהול,שכרות,,$,$,$,-,-,-,$,-,-,$,-,$,$,-
ג'סר א-זרקא,Total,,,923,253,26,92,91,44,485,65,113,175,132,185,107,78
ג'סר א-זרקא,תנועה,Total,,55,12,$,$,$,$,30,5,6,11,8,13,5,8
ג'סר א-זרקא,תנועה,הסגת גבול - חניה פרטית,,$,-,-,-,-,-,$,-,-,$,-,$,$,-
ג'סר א-זרקא,תנועה,חסימת מעבר,,49,10,-,$,$,$,28,$,6,10,8,11,$,8
ג'סר א-זרקא,תנועה,רכב חונה באיסור,,$,$,$,-,$,-,$,$,-,-,-,$,$,-
ג'סר א-זרקא,איכות חיים,Total,,213,93,$,29,45,16,95,10,32,35,18,25,$,21
ג'סר א-זרקא,איכות חיים,גרימת רעש מבית,,68,27,-,11,10,6,30,$,14,8,5,11,$,7
ג'סר א-זרקא,איכות חיים,גרימת רעש מבית תפילה,,$,-,-,-,-,-,-,-,-,-,-,$,-,$
ג'סר א-זרקא,איכות חיים,גרימת רעש ממקום ציבורי,,137,64,$,17,34,10,63,6,18,26,13,10,-,10
ג'סר א-זרקא,איכות חיים,גרימת רעש מעסק,,5,$,-,$,$,-,$,$,-,$,-,$,-,$
ג'סר א-זרקא,סדר ציבורי,Total,,530,97,15,35,28,19,301,38,65,112,86,132,92,40
ג'סר א-זרקא,סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,530,97,15,35,28,19,301,38,65,112,86,132,92,40
ג'סר א-זרקא,אלימות,Total,,101,42,$,22,11,5,46,8,9,12,17,13,$,9
ג'סר א-זרקא,אלימות,סכסוך - שכנים,,51,-,-,-,-,-,38,-,9,12,17,13,$,9
ג'סר א-זרקא,אלימות,סכסוך שכנים עסקי,,50,42,$,22,11,5,8,8,-,-,-,-,-,-
ג'סר א-זרקא,סמים ואלכוהול,Total,,24,9,$,$,$,-,13,$,$,5,$,$,$,-
ג'סר א-זרקא,סמים ואלכוהול,שכרות,,24,9,$,$,$,-,13,$,$,5,$,$,$,-
ג'ש (גוש חלב),Total,,,98,26,6,5,9,6,62,13,19,17,13,10,$,7
ג'ש (גוש חלב),תנועה,Total,,56,10,$,$,$,$,40,8,11,12,9,6,$,$
ג'ש (גוש חלב),תנועה,הסגת גבול - חניה פרטית,,$,-,-,-,-,-,$,-,-,-,$,$,$,-
ג'ש (גוש חלב),תנועה,חסימת מעבר,,45,8,$,$,$,$,32,6,8,10,8,5,$,$
ג'ש (גוש חלב),תנועה,רכב חונה באיסור,,9,$,-,$,-,$,7,$,$,$,-,-,-,-
ג'ש (גוש חלב),איכות חיים,Total,,19,9,-,$,5,$,8,$,$,$,-,$,-,$
ג'ש (גוש חלב),איכות חיים,גרימת רעש מבית,,10,5,-,-,$,$,5,$,$,$,-,-,-,-
ג'ש (גוש חלב),איכות חיים,גרימת רעש ממקום ציבורי,,8,$,-,$,$,-,$,-,$,$,-,$,-,$
ג'ש (גוש חלב),איכות חיים,גרימת רעש מעסק,,$,-,-,-,-,-,$,-,-,$,-,-,-,-
ג'ש (גוש חלב),סדר ציבורי,Total,,6,$,$,$,-,$,$,-,-,-,$,-,-,-
ג'ש (גוש חלב),סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,6,$,$,$,-,$,$,-,-,-,$,-,-,-
ג'ש (גוש חלב),אלימות,Total,,16,$,$,-,$,-,11,$,5,$,$,$,-,$
ג'ש (גוש חלב),אלימות,סכסוך - שכנים,,11,-,-,-,-,-,9,-,5,$,$,$,-,$
ג'ש (גוש חלב),אלימות,סכסוך שכנים עסקי,,5,$,$,-,$,-,$,$,-,-,-,-,-,-
ג'ש (גוש חלב),סמים ואלכוהול,Total,,$,-,-,-,-,-,$,-,$,-,-,-,-,-
ג'ש (גוש חלב),סמים ואלכוהול,שכרות,,$,-,-,-,-,-,$,-,$,-,-,-,-,-
ג'ת ראה באקה,Total,,,110,40,7,12,9,12,43,7,12,16,8,27,13,14
ג'ת ראה באקה,תנועה,Total,,42,11,$,$,$,$,19,$,5,6,6,12,$,9
ג'ת ראה באקה,תנועה,הסגת גבול - חניה פרטית,,$,-,-,-,-,-,-,-,-,-,-,$,$,-
ג'ת ראה באקה,תנועה,חסימת מעבר,,31,7,$,$,$,$,14,$,$,6,$,10,$,8
ג'ת ראה באקה,תנועה,רכב חונה באיסור,,10,$,-,$,$,$,5,$,$,-,$,$,-,$
ג'ת ראה באקה,איכות חיים,Total,,15,7,$,$,-,$,5,$,$,$,-,$,$,$
ג'ת ראה באקה,איכות חיים,גרימת רעש מבית,,5,$,$,-,-,-,$,-,$,$,-,$,$,$
ג'ת ראה באקה,איכות חיים,גרימת רעש ממקום ציבורי,,8,$,-,$,-,$,$,$,-,$,-,$,$,-
ג'ת ראה באקה,איכות חיים,גרימת רעש מעסק,,$,$,-,$,-,$,-,-,-,-,-,-,-,-
ג'ת ראה באקה,סדר ציבורי,Total,,27,6,$,-,$,$,14,$,$,5,$,7,$,$
ג'ת ראה באקה,סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,27,6,$,-,$,$,14,$,$,5,$,7,$,$
ג'ת ראה באקה,אלימות,Total,,23,15,$,7,$,$,$,$,$,-,-,5,$,$
ג'ת ראה באקה,אלימות,סכסוך - שכנים,,6,-,-,-,-,-,$,-,$,-,-,5,$,$
ג'ת ראה באקה,אלימות,סכסוך שכנים עסקי,,17,15,$,7,$,$,$,$,$,-,-,-,-,-
ג'ת ראה באקה,סמים ואלכוהול,Total,,$,$,-,-,$,-,$,-,-,$,-,-,-,-
ג'ת ראה באקה,סמים ואלכוהול,שכרות,,$,$,-,-,$,-,$,-,-,$,-,-,-,-
גבעת זאב,Total,,,1784,690,106,179,251,154,808,166,181,267,194,286,154,132
גבעת זאב,תנועה,Total,,777,257,41,62,76,78,363,77,80,114,92,157,97,60
גבעת זאב,תנועה,הסגת גבול - חניה פרטית,,78,-,-,-,-,-,50,-,12,20,18,28,12,16
גבעת זאב,תנועה,חסימת מעבר,,493,185,30,48,53,54,228,54,48,71,55,80,50,30
גבעת זאב,תנועה,רכב חונה באיסור,,206,72,11,14,23,24,85,23,20,23,19,49,35,14
גבעת זאב,איכות חיים,Total,,751,343,40,90,159,54,319,46,81,115,77,89,36,53
גבעת זאב,איכות חיים,גרימת רעש מבית,,426,188,28,51,82,27,186,29,45,62,50,52,24,28
גבעת זאב,איכות חיים,גרימת רעש מבית תפילה,,$,-,-,-,-,-,-,-,-,-,-,$,$,$
גבעת זאב,איכות חיים,גרימת רעש ממקום ציבורי,,315,151,11,38,75,27,130,16,36,52,26,34,10,24
גבעת זאב,איכות חיים,גרימת רעש מעסק,,7,$,$,$,$,-,$,$,-,$,$,-,-,-
גבעת זאב,סדר ציבורי,Total,,64,17,6,$,$,5,37,12,5,10,10,10,8,$
גבעת זאב,סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,64,17,6,$,$,5,37,12,5,10,10,10,8,$
גבעת זאב,אלימות,Total,,177,68,18,19,14,17,81,26,14,26,15,28,12,16
גבעת זאב,אלימות,סכסוך - שכנים,,78,-,-,-,-,-,50,-,9,26,15,28,12,16
גבעת זאב,אלימות,סכסוך שכנים עסקי,,99,68,18,19,14,17,31,26,5,-,-,-,-,-
גבעת זאב,סמים ואלכוהול,Total,,15,5,$,$,-,-,8,5,$,$,-,$,$,$
גבעת זאב,סמים ואלכוהול,שכרות,,15,5,$,$,-,-,8,5,$,$,-,$,$,$
גבעת שמואל,Total,,,3724,1161,247,294,300,320,1909,375,514,457,563,654,378,276
גבעת שמואל,תנועה,Total,,2264,618,149,136,160,173,1204,212,314,314,364,442,273,169
גבעת שמואל,תנועה,הסגת גבול - חניה פרטית,,270,-,-,-,-,-,192,-,60,74,58,78,41,37
גבעת שמואל,תנועה,חסימת מעבר,,1262,346,82,63,94,107,665,131,167,154,213,251,165,86
גבעת שמואל,תנועה,רכב חונה באיסור,,732,272,67,73,66,66,347,81,87,86,93,113,67,46
גבעת שמואל,איכות חיים,Total,,1225,455,83,138,103,131,595,135,178,115,167,175,77,98
גבעת שמואל,איכות חיים,גרימת רעש מבית,,630,258,61,72,55,70,270,77,80,46,67,102,49,53
גבעת שמואל,איכות חיים,גרימת רעש ממקום ציבורי,,537,170,14,59,44,53,301,52,89,63,97,66,25,41
גבעת שמואל,איכות חיים,גרימת רעש מעסק,,58,27,8,7,$,8,24,6,9,6,$,7,$,$
גבעת שמואל,סדר ציבורי,Total,,111,32,8,8,14,$,65,17,9,18,21,14,9,5
גבעת שמואל,סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,111,32,8,8,14,$,65,17,9,18,21,14,9,5
גבעת שמואל,אלימות,Total,,112,53,7,11,21,14,39,9,12,8,10,20,17,$
גבעת שמואל,אלימות,סכסוך - שכנים,,48,-,-,-,-,-,28,-,10,8,10,20,17,$
גבעת שמואל,אלימות,סכסוך שכנים עסקי,,64,53,7,11,21,14,11,9,$,-,-,-,-,-
גבעת שמואל,סמים ואלכוהול,Total,,12,$,-,$,$,-,6,$,$,$,$,$,$,$
גבעת שמואל,סמים ואלכוהול,שכרות,,12,$,-,$,$,-,6,$,$,$,$,$,$,$
גבעתיים,Total,,,15663,5817,1310,1538,1465,1504,7174,1465,1920,1845,1944,2672,1640,1032
גבעתיים,תנועה,Total,,9255,3189,768,712,858,851,4271,874,1026,1182,1189,1795,1145,650
גבעתיים,תנועה,הסגת גבול - חניה פרטית,,894,-,-,-,-,-,525,-,163,174,188,369,245,124
גבעתיים,תנועה,חסימת מעבר,,4024,1396,284,317,401,394,1950,436,465,530,519,678,436,242
גבעתיים,תנועה,רכב חונה באיסור,,4337,1793,484,395,457,457,1796,438,398,478,482,748,464,284
גבעתיים,איכות חיים,Total,,5362,2198,453,719,494,532,2435,463,784,550,638,729,398,331
גבעתיים,איכות חיים,גרימת רעש מבית,,2409,1000,207,333,211,249,1063,227,325,204,307,346,197,149
גבעתיים,איכות חיים,גרימת רעש מבית תפילה,,$,-,-,-,-,-,-,-,-,-,-,$,$,$
גבעתיים,איכות חיים,גרימת רעש ממקום ציבורי,,2232,943,188,309,227,219,1000,154,346,256,244,289,146,143
גבעתיים,איכות חיים,גרימת רעש מעסק,,718,255,58,77,56,64,372,82,113,90,87,91,54,37
גבעתיים,סדר ציבורי,Total,,394,138,35,31,29,43,191,46,58,44,43,65,41,24
גבעתיים,סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,394,138,35,31,29,43,191,46,58,44,43,65,41,24
גבעתיים,אלימות,Total,,567,252,50,64,71,67,244,77,45,59,63,71,49,22
