,,,שנה קבלת אירוע,Total,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2017,2017,2017
מועצה  מקומית או עירייה או מועצה אזורית,נושא ארוע,סוג אירוע,רבעון קבלת אירוע,,Total,Q1,Q2,Q3,Q4,Total,Q1,Q2,Q3,Q4,Total,Q1,Q2
אבו סנאן,סמים ואלכוהול,שכרות,,6,$,-,$,$,$,$,$,$,$,-,-,-,-
אבן יהודה,Total,,,2021,855,226,246,195,188,857,174,238,253,192,309,195,114
אבן יהודה,תנועה,Total,,1252,434,137,92,101,104,601,115,171,179,136,217,148,69
אבן יהודה,תנועה,הסגת גבול - חניה פרטית,,94,-,-,-,-,-,72,-,24,27,21,22,12,10
אבן יהודה,תנועה,חסימת מעבר,,863,284,69,64,69,82,418,84,121,116,97,161,112,49
אבן יהודה,תנועה,רכב חונה באיסור,,295,150,68,28,32,22,111,31,26,36,18,34,24,10
אבן יהודה,איכות חיים,Total,,617,340,69,132,74,65,204,44,54,61,45,73,38,35
אבן יהודה,איכות חיים,גרימת רעש מבית,,377,207,41,85,45,36,116,29,32,28,27,54,29,25
אבן יהודה,איכות חיים,גרימת רעש ממקום ציבורי,,200,111,20,38,27,26,74,7,18,31,18,15,8,7
אבן יהודה,איכות חיים,גרימת רעש מעסק,,40,22,8,9,$,$,14,8,$,$,-,$,$,$
אבן יהודה,סדר ציבורי,Total,,58,23,$,7,8,$,24,5,7,6,6,11,$,8
אבן יהודה,סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,58,23,$,7,8,$,24,5,7,6,6,11,$,8
אבן יהודה,אלימות,Total,,78,50,15,13,10,12,23,9,5,5,$,5,$,$
אבן יהודה,אלימות,סכסוך - שכנים,,17,-,-,-,-,-,12,-,$,5,$,5,$,$
אבן יהודה,אלימות,סכסוך שכנים עסקי,,61,50,15,13,10,12,11,9,$,-,-,-,-,-
אבן יהודה,סמים ואלכוהול,Total,,16,8,$,$,$,$,5,$,$,$,$,$,$,$
אבן יהודה,סמים ואלכוהול,שכרות,,16,8,$,$,$,$,5,$,$,$,$,$,$,$
אום אל-פחם,Total,,,1612,494,94,140,153,107,746,131,200,198,217,372,233,139
אום אל-פחם,תנועה,Total,,1202,339,75,86,99,79,553,99,144,141,169,310,191,119
אום אל-פחם,תנועה,הסגת גבול - חניה פרטית,,14,-,-,-,-,-,9,-,$,$,$,5,$,$
אום אל-פחם,תנועה,חסימת מעבר,,1074,297,66,75,87,69,505,89,132,130,154,272,165,107
אום אל-פחם,תנועה,רכב חונה באיסור,,114,42,9,11,12,10,39,10,8,9,12,33,22,11
אום אל-פחם,איכות חיים,Total,,182,91,6,36,34,15,74,6,23,28,17,17,8,9
אום אל-פחם,איכות חיים,גרימת רעש מבית,,41,19,-,10,6,$,18,-,5,7,6,$,$,$
אום אל-פחם,איכות חיים,גרימת רעש ממקום ציבורי,,124,62,6,21,24,11,51,6,16,19,10,11,6,5
אום אל-פחם,איכות חיים,גרימת רעש מעסק,,17,10,-,5,$,$,5,-,$,$,$,$,-,$
אום אל-פחם,סדר ציבורי,Total,,176,45,11,13,14,7,92,15,27,22,28,39,30,9
אום אל-פחם,סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,176,45,11,13,14,7,92,15,27,22,28,39,30,9
אום אל-פחם,אלימות,Total,,43,18,$,$,6,6,20,9,$,6,$,5,$,$
אום אל-פחם,אלימות,סכסוך - שכנים,,16,-,-,-,-,-,11,-,$,6,$,5,$,$
אום אל-פחם,אלימות,סכסוך שכנים עסקי,,27,18,$,$,6,6,9,9,-,-,-,-,-,-
אום אל-פחם,סמים ואלכוהול,Total,,9,$,-,$,-,-,7,$,$,$,-,$,$,-
אום אל-פחם,סמים ואלכוהול,שכרות,,9,$,-,$,-,-,7,$,$,$,-,$,$,-
אופקים,Total,,,5586,2441,433,693,665,650,2463,504,601,710,648,682,361,321
אופקים,תנועה,Total,,1196,477,115,131,110,121,543,145,120,141,137,176,114,62
אופקים,תנועה,הסגת גבול - חניה פרטית,,26,-,-,-,-,-,18,-,$,5,9,8,$,$
אופקים,תנועה,חסימת מעבר,,796,313,76,92,63,82,354,88,80,91,95,129,84,45
אופקים,תנועה,רכב חונה באיסור,,374,164,39,39,47,39,171,57,36,45,33,39,26,13
אופקים,איכות חיים,Total,,3152,1395,190,426,393,386,1430,261,361,426,382,327,150,177
אופקים,איכות חיים,גרימת רעש מבית,,1700,727,130,228,172,197,764,173,180,195,216,209,107,102
אופקים,איכות חיים,גרימת רעש מבית תפילה,,$,-,-,-,-,-,-,-,-,-,-,$,-,$
אופקים,איכות חיים,גרימת רעש ממקום ציבורי,,1373,625,55,182,204,184,632,81,167,223,161,116,43,73
אופקים,איכות חיים,גרימת רעש מעסק,,78,43,5,16,17,5,34,7,14,8,5,$,-,$
אופקים,סדר ציבורי,Total,,728,337,74,84,89,90,281,48,65,89,79,110,67,43
אופקים,סדר ציבורי,"אדם/חנ""ש/נרקומן משתולל",,728,337,74,84,89,90,281,48,65,89,79,110,67,43
אופקים,אלימות,Total,,413,188,47,38,58,45,167,40,38,47,42,58,28,30
אופקים,אלימות,סכסוך - שכנים,,181,-,-,-,-,-,123,-,34,47,42,58,28,30
