מחוז טריטוריאלי,חודש קבלה,עיר,יום בשבוע,כמות  אירועים
מחוז תא,4,הרצליה,שני,9
מחוז תא,4,הרצליה,ראשון,9
מחוז תא,4,הרצליה,שבת,12
מחוז תא,4,הרצליה,שישי,12
מחוז תא,4,חולון,חמישי,37
מחוז תא,4,חולון,רביעי,25
מחוז תא,4,חולון,שלישי,25
מחוז תא,4,חולון,שני,28
מחוז תא,4,חולון,ראשון,23
מחוז תא,4,חולון,שבת,23
מחוז תא,4,חולון,שישי,27
מחוז תא,4,יהוד מונוסון,חמישי,5
מחוז תא,4,יהוד מונוסון,רביעי,4
מחוז תא,4,יהוד מונוסון,שלישי,2
מחוז תא,4,יהוד מונוסון,שני,2
מחוז תא,4,יהוד מונוסון,ראשון,2
מחוז תא,4,יהוד מונוסון,שבת,3
מחוז תא,4,יהוד מונוסון,שישי,2
מחוז תא,4,לא ידוע,חמישי,1
מחוז תא,4,סביון,שישי,1
מחוז תא,4,קרית אונו,חמישי,4
מחוז תא,4,קרית אונו,רביעי,3
מחוז תא,4,קרית אונו,שלישי,4
מחוז תא,4,קרית אונו,שני,1
מחוז תא,4,קרית אונו,ראשון,2
מחוז תא,4,קרית אונו,שבת,1
מחוז תא,4,קרית אונו,שישי,2
מחוז תא,4,רמת גן,חמישי,19
מחוז תא,4,רמת גן,רביעי,26
מחוז תא,4,רמת גן,שלישי,21
מחוז תא,4,רמת גן,שני,21
מחוז תא,4,רמת גן,ראשון,21
מחוז תא,4,רמת גן,שבת,19
מחוז תא,4,רמת גן,שישי,21
מחוז תא,4,רמת השרון,חמישי,3
מחוז תא,4,רמת השרון,רביעי,2
מחוז תא,4,רמת השרון,שלישי,5
מחוז תא,4,רמת השרון,שני,3
מחוז תא,4,רמת השרון,ראשון,4
מחוז תא,4,רמת השרון,שבת,2
מחוז תא,4,רשפון,חמישי,1
מחוז תא,4,תל אביב -יפו,חמישי,71
מחוז תא,4,תל אביב -יפו,רביעי,63
מחוז תא,4,תל אביב -יפו,שלישי,50
מחוז תא,4,תל אביב -יפו,שני,61
מחוז תא,4,תל אביב -יפו,ראשון,57
מחוז תא,4,תל אביב -יפו,שבת,73
מחוז תא,4,תל אביב -יפו,שישי,72
מחוז תא,4,Total,,"1,236"
מחוז תא,Total,,,"1,642"
מחוז שי,3,אבו דיס,שלישי,1
מחוז שי,3,אורנית,שלישי,1
מחוז שי,3,אלון מורה,שלישי,1
מחוז שי,3,אריאל,ראשון,1
מחוז שי,3,אריאל,שבת,2
מחוז שי,3,בית אריה,שלישי,1
מחוז שי,3,בית לחם,שני,1
מחוז שי,3,ביתר עילית,חמישי,1
מחוז שי,3,ביתר עילית,שלישי,1
מחוז שי,3,ביתר עילית,ראשון,2
מחוז שי,3,ביתר עילית,שישי,2
מחוז שי,3,חיננית,שישי,1
מחוז שי,3,חשמונאים,שני,1
מחוז שי,3,כוכב יעקב,שלישי,1
מחוז שי,3,כפר אדומים,שבת,1
מחוז שי,3,מודיעין עילית,ראשון,1
מחוז שי,3,מעלה אדומים,שני,1
מחוז שי,3,מעלה אדומים,ראשון,1
מחוז שי,3,עלי,שלישי,2
מחוז שי,3,קרית ארבע,שלישי,1
מחוז שי,3,קרני שומרון,ראשון,2
מחוז שי,3,רימונים,שבת,1
מחוז שי,3,שכם,שבת,1
מחוז שי,3,שערי תקווה,שני,1
מחוז שי,3,תקוע,ראשון,1
מחוז שי,3,Total,,30
מחוז שי,4,אבו דיס,שלישי,1
מחוז שי,4,אבו דיס,שבת,1
מחוז שי,4,אבני חפץ,שישי,1
מחוז שי,4,אורנית,חמישי,1
מחוז שי,4,איתמר,חמישי,1
מחוז שי,4,אלון מורה,רביעי,1
מחוז שי,4,אפרת,שני,1
מחוז שי,4,אפרת,ראשון,1
מחוז שי,4,אפרת,שבת,1
מחוז שי,4,אריאל,חמישי,3
מחוז שי,4,אריאל,שלישי,1
מחוז שי,4,אריאל,שני,1
מחוז שי,4,אריאל,ראשון,3
מחוז שי,4,אריאל,שישי,2
מחוז שי,4,אשכולות,שלישי,1
מחוז שי,4,ביתר עילית,חמישי,2
מחוז שי,4,ביתר עילית,רביעי,2
מחוז שי,4,ביתר עילית,שלישי,1
מחוז שי,4,ביתר עילית,שני,2
מחוז שי,4,ביתר עילית,ראשון,6
מחוז שי,4,ביתר עילית,שישי,2
מחוז שי,4,בקעות,שני,1
מחוז שי,4,גבע בנימין,חמישי,1
מחוז שי,4,גבע בנימין,שלישי,1
מחוז שי,4,גבע בנימין,שני,2
מחוז שי,4,גבע בנימין,ראשון,1
מחוז שי,4,גבע בנימין,שבת,2
מחוז שי,4,גני מודיעין,שני,1
מחוז שי,4,זיתא,חמישי,1
מחוז שי,4,חברון,חמישי,1
מחוז שי,4,חשמונאים,רביעי,1
מחוז שי,4,כוכב יעקב,חמישי,2
מחוז שי,4,כוכב יעקב,שלישי,1
מחוז שי,4,כוכב יעקב,ראשון,1
מחוז שי,4,כפר תפוח,שלישי,1
מחוז שי,4,כפר תפוח,ראשון,1
מחוז שי,4,לא ידוע,רביעי,1
מחוז שי,4,לא ידוע,שני,1
מחוז שי,4,מבוא חורון,שבת,1
מחוז שי,4,מגדלים,שני,1
מחוז שי,4,מודיעין עילית,רביעי,1
מחוז שי,4,מודיעין עילית,שני,1
מחוז שי,4,מודיעין עילית,ראשון,4
מחוז שי,4,מודיעין עילית,שישי,1
מחוז שי,4,מעלה אדומים,חמישי,2
מחוז שי,4,מעלה אדומים,רביעי,4
מחוז שי,4,מעלה אדומים,שלישי,1
מחוז שי,4,מעלה אדומים,שני,2
מחוז שי,4,מעלה אדומים,שבת,2
מחוז שי,4,מעלה אדומים,שישי,3
מחוז שי,4,נופים,שבת,1
מחוז שי,4,נוקדים,שבת,1
מחוז שי,4,נעלה,חמישי,1
מחוז שי,4,סוסיה,שני,1
מחוז שי,4,עלי,חמישי,2
מחוז שי,4,עלמון,שני,1
מחוז שי,4,עמנואל,חמישי,1
מחוז שי,4,עמנואל,שני,3
מחוז שי,4,עמנואל,ראשון,1
מחוז שי,4,עמנואל,שישי,3
מחוז שי,4,עפרה,שני,1
מחוז שי,4,עקרבה,שני,1
מחוז שי,4,פצאל,שני,1
מחוז שי,4,קטנה,שני,1
מחוז שי,4,קרית ארבע,שלישי,1
מחוז שי,4,קרית ארבע,ראשון,2
מחוז שי,4,קרית ארבע,שישי,1
מחוז שי,4,קרני שומרון,רביעי,1
מחוז שי,4,קרני שומרון,שלישי,1
מחוז שי,4,רימונים,רביעי,1
מחוז שי,4,שילה,חמישי,1
מחוז שי,4,שכם,חמישי,1
מחוז שי,4,תקוע,שלישי,1
מחוז שי,4,תרקומיא,שישי,1
מחוז שי,4,Total,,108
מחוז שי,Total,,,138
מחוז צפון,3,אומן,שלישי,1
מחוז צפון,3,אכסאל,שלישי,1
מחוז צפון,3,אכסאל,ראשון,1
מחוז צפון,3,בוקעתא,שלישי,1
מחוז צפון,3,בוקעתא,ראשון,1
מחוז צפון,3,ביענה,שני,2
מחוז צפון,3,ביענה,ראשון,1
מחוז צפון,3,בית ג'ן,רביעי,2
מחוז צפון,3,בית שאן,חמישי,1
מחוז צפון,3,בית שאן,שלישי,1
מחוז צפון,3,בית שאן,שבת,2
מחוז צפון,3,גבעת אבני,שישי,1
מחוז צפון,3,דייר אל אסד,רביעי,2
מחוז צפון,3,דייר אל אסד,שלישי,1
מחוז צפון,3,דייר חנא,רביעי,1
מחוז צפון,3,חבר,שישי,1
מחוז צפון,3,חמדיה,שלישי,1
מחוז צפון,3,חצור הגלילית,שבת,1
מחוז צפון,3,טבריה,חמישי,1
מחוז צפון,3,טבריה,רביעי,1
מחוז צפון,3,טבריה,שלישי,3
מחוז צפון,3,טבריה,שני,2
מחוז צפון,3,טבריה,ראשון,3
מחוז צפון,3,טבריה,שבת,1
מחוז צפון,3,טובא זנגריה,שבת,1
מחוז צפון,3,טורעאן,שני,1
מחוז צפון,3,טייבה ליד מולדת,שני,1
מחוז צפון,3,טירת צבי,חמישי,1
מחוז צפון,3,טמרה,ראשון,2
מחוז צפון,3,טמרה,שבת,1
מחוז צפון,3,יבנאל,ראשון,2
מחוז צפון,3,יקנעם,שלישי,1
מחוז צפון,3,יקנעם,ראשון,1
מחוז צפון,3,יקנעם עילית,רביעי,1
מחוז צפון,3,יקנעם עילית,שני,1
מחוז צפון,3,כאוכב אבו אל היגא,שבת,2
מחוז צפון,3,כעביה טבאש חג'אג'רה,שלישי,1
מחוז צפון,3,כפר כנא,שני,2
מחוז צפון,3,כפר מנדא,שלישי,1
מחוז צפון,3,כרמיאל,שלישי,1
מחוז צפון,3,כרמיאל,שני,3
מחוז צפון,3,כרמיאל,ראשון,1
מחוז צפון,3,כרמיאל,שישי,2
מחוז צפון,3,מג'דל שמס,שלישי,1
מחוז צפון,3,מג'דל שמס,ראשון,2
מחוז צפון,3,מגאר,שבת,1
מחוז צפון,3,מגדל,שלישי,1
מחוז צפון,3,מגדל העמק,חמישי,1
מחוז צפון,3,מגדל העמק,רביעי,1
מחוז צפון,3,מגדל העמק,שלישי,1
מחוז צפון,3,מגדל העמק,שבת,1
מחוז צפון,3,מגדל העמק,שישי,1
מחוז צפון,3,מזרע,שני,1
מחוז צפון,3,מטולה,שני,1
מחוז צפון,3,מעלות תרשיחא,שלישי,3
מחוז צפון,3,מעלות תרשיחא,שני,1
מחוז צפון,3,מעלות תרשיחא,ראשון,1
מחוז צפון,3,מעלות תרשיחא,שבת,1
מחוז צפון,3,מרגליות,שני,1
מחוז צפון,3,משהד,שבת,1
מחוז צפון,3,נוף הגליל,חמישי,2
מחוז צפון,3,נוף הגליל,רביעי,2
מחוז צפון,3,נוף הגליל,שלישי,3
מחוז צפון,3,נוף הגליל,שני,1
מחוז צפון,3,נוף הגליל,ראשון,1
מחוז צפון,3,נוף הגליל,שבת,2
מחוז צפון,3,נחף,שני,1
מחוז צפון,3,נין,רביעי,1
מחוז צפון,3,נצרת,חמישי,1
מחוז צפון,3,נצרת,רביעי,1
מחוז צפון,3,נצרת,ראשון,1
מחוז צפון,3,נצרת,שבת,2
מחוז צפון,3,סולם שונם,שבת,1
מחוז צפון,3,סלמה,שלישי,1
מחוז צפון,3,סלמה,שבת,1
מחוז צפון,3,עין מאהל,רביעי,1
מחוז צפון,3,עין מאהל,שלישי,1
מחוז צפון,3,עפולה,חמישי,2
מחוז צפון,3,עפולה,רביעי,1
מחוז צפון,3,עפולה,שלישי,3
מחוז צפון,3,עפולה,שני,3
מחוז צפון,3,עפולה,ראשון,6
מחוז צפון,3,עפולה,שבת,3
מחוז צפון,3,עפולה,שישי,2
מחוז צפון,3,עראבה,שלישי,1
מחוז צפון,3,פוריה נווה עובד,שלישי,1
מחוז צפון,3,פקיעין חדשה,שני,1
מחוז צפון,3,צפת,חמישי,1
מחוז צפון,3,צפת,רביעי,1
מחוז צפון,3,צפת,שלישי,2
מחוז צפון,3,צפת,שני,1
מחוז צפון,3,צפת,ראשון,1
מחוז צפון,3,צפת,שבת,1
מחוז צפון,3,קצרין,ראשון,1
מחוז צפון,3,קרית שמונה,חמישי,1
מחוז צפון,3,קרית שמונה,רביעי,1
מחוז צפון,3,קרית שמונה,שני,2
מחוז צפון,3,ראש פינה,שני,1
מחוז צפון,3,ריינה,שלישי,1
מחוז צפון,3,רמת ישי,ראשון,1
מחוז צפון,3,שבלי,רביעי,1
מחוז צפון,3,שבלי,ראשון,1
מחוז צפון,3,שעב,ראשון,1
מחוז צפון,3,שפרעם,שני,1
מחוז צפון,3,Total,,144
מחוז צפון,4,איילת השחר,חמישי,1
מחוז צפון,4,אילניה,שלישי,1
מחוז צפון,4,אכסאל,חמישי,1
מחוז צפון,4,אכסאל,שלישי,2
מחוז צפון,4,אלון הגליל,שבת,1
מחוז צפון,4,אעבלין,חמישי,1
מחוז צפון,4,אעבלין,רביעי,1
מחוז צפון,4,אעבלין,שישי,1
מחוז צפון,4,אפיקים,חמישי,1
מחוז צפון,4,בועיינה נוג'יידאת,שני,1
מחוז צפון,4,בועיינה נוג'יידאת,שישי,1
מחוז צפון,4,ביר אל מכסור,רביעי,1
מחוז צפון,4,בית ג'ן,חמישי,1
מחוז צפון,4,בית השיטה,חמישי,1
מחוז צפון,4,בית לחם הגלילית,שבת,1
מחוז צפון,4,בית קשת,שישי,1
מחוז צפון,4,בית שאן,חמישי,1
מחוז צפון,4,בית שאן,רביעי,3
מחוז צפון,4,בית שאן,שני,3
מחוז צפון,4,בית שאן,ראשון,3
מחוז צפון,4,בית שאן,שבת,4
מחוז צפון,4,בית שאן,שישי,3
מחוז צפון,4,בר יוחאי,ראשון,1
מחוז צפון,4,בר יוחאי,שבת,1
מחוז צפון,4,גדיש,רביעי,1
מחוז צפון,4,גדיש,שני,1
מחוז צפון,4,דבוריה,חמישי,1
מחוז צפון,4,דבוריה,שבת,1
מחוז צפון,4,דבוריה,שישי,1
מחוז צפון,4,דחי,שישי,1
מחוז צפון,4,דייר אל אסד,שני,1
